annotation	bilirubin	time
35w_risk	16.7	209
35w_risk	16.9	233
35w_risk	17	257
35w_risk	17.1	281
35w_risk	17.2	305
35w_risk	17.3	329
35w_risk	17.4	353
35w_risk	7.9	18
35w_risk	11.4	42
35w_risk	14.1	66
35w_risk	15.8	90
35w_risk	16.2	114
35w_risk	16.4	138
35w_risk	16.5	162
35w_risk	16.6	186
35w_risk	16.7	210
35w_risk	16.9	234
35w_risk	17	258
35w_risk	17.1	282
35w_risk	17.2	306
35w_risk	17.3	330
35w_risk	17.4	354
35w_risk	8.1	19
35w_risk	11.5	43
35w_risk	14.2	67
35w_risk	15.9	91
35w_risk	16.2	115
35w_risk	16.4	139
35w_risk	16.5	163
35w_risk	16.6	187
35w_risk	16.7	211
35w_risk	16.9	235
35w_risk	17	259
35w_risk	17.1	283
35w_risk	17.2	307
35w_risk	17.4	331
35w_risk	17.4	355
35w_risk	8.2	20
35w_risk	11.7	44
35w_risk	14.2	68
35w_risk	15.9	92
35w_risk	16.3	116
35w_risk	16.4	140
35w_risk	16.5	164
35w_risk	16.6	188
35w_risk	16.7	212
35w_risk	16.9	236
35w_risk	17	260
35w_risk	17.1	284
35w_risk	17.2	308
35w_risk	17.4	332
35w_risk	17.4	356
35w_risk	8.4	21
35w_risk	11.8	45
35w_risk	14.3	69
35w_risk	16	93
35w_risk	16.3	117
35w_risk	16.4	141
35w_risk	16.5	165
35w_risk	16.6	189
35w_risk	16.8	213
35w_risk	16.9	237
35w_risk	17	261
35w_risk	17.1	285
35w_risk	17.2	309
35w_risk	17.4	333
35w_risk	17.4	357
35w_risk	8.6	22
35w_risk	11.9	46
35w_risk	14.4	70
35w_risk	16.1	94
35w_risk	16.3	118
35w_risk	16.4	142
35w_risk	16.5	166
35w_risk	16.6	190
35w_risk	16.8	214
35w_risk	16.9	238
35w_risk	17	262
35w_risk	17.1	286
35w_risk	17.2	310
35w_risk	17.4	334
35w_risk	17.4	358
35w_risk	8.7	23
35w_risk	12	47
35w_risk	14.5	71
35w_risk	16.1	95
35w_risk	16.3	119
35w_risk	16.4	143
35w_risk	16.5	167
35w_risk	16.6	191
35w_risk	16.8	215
35w_risk	16.9	239
35w_risk	17	263
35w_risk	17.1	287
35w_risk	17.3	311
35w_risk	17.4	335
35w_risk	17.4	359
NA	NA	NA
36w_risk	NA	0
36w_risk	9.4	24
36w_risk	12.8	48
36w_risk	15.4	72
36w_risk	17	96
36w_risk	17.1	120
36w_risk	17.3	144
36w_risk	17.4	168
36w_risk	17.5	192
36w_risk	17.6	216
36w_risk	17.7	240
36w_risk	17.9	264
36w_risk	18	288
36w_risk	18.1	312
36w_risk	18.2	336
36w_risk	5.4	1
36w_risk	9.6	25
36w_risk	13	49
36w_risk	15.4	73
36w_risk	17	97
36w_risk	17.1	121
36w_risk	17.3	145
36w_risk	17.4	169
36w_risk	17.5	193
36w_risk	17.6	217
36w_risk	17.8	241
36w_risk	17.9	265
36w_risk	18	289
36w_risk	18.1	313
36w_risk	18.2	337
36w_risk	5.6	2
36w_risk	9.8	26
36w_risk	13.1	50
36w_risk	15.5	74
36w_risk	17	98
36w_risk	17.1	122
36w_risk	17.3	146
36w_risk	17.4	170
36w_risk	17.5	194
36w_risk	17.6	218
36w_risk	17.8	242
36w_risk	17.9	266
36w_risk	18	290
36w_risk	18.1	314
36w_risk	18.2	338
36w_risk	5.8	3
36w_risk	9.9	27
36w_risk	13.2	51
36w_risk	15.6	75
36w_risk	17	99
36w_risk	17.1	123
36w_risk	17.3	147
36w_risk	17.4	171
36w_risk	17.5	195
36w_risk	17.6	219
36w_risk	17.8	243
36w_risk	17.9	267
36w_risk	18	291
36w_risk	18.1	315
36w_risk	18.2	339
36w_risk	6	4
